Publisher	Series	Title	ERF Level	New GSL 95%[Types Needed]	New GSL 98%[Types Needed]	NGSL 95%[Types Needed]	NGSL 98%[Types Needed]	SEWK-J 95%[Types Needed]	SEWK-J 98%[Types Needed]	BNC/COCA 95%[Types Needed]	BNC/COCA 98%[Types Needed]
Abax
	Global Issues Narratives
		Knife Markets of Sanaa The	3	Off-List[12]	Off-List[36]	Off-List[4]	Off-List[19]	"5,165"	0[1]	4	Off-List[1]
		Koalas	5	Off-List[33]	Off-List[99]	Off-List[6]	Off-List[47]	"9,179"	"15,749"	7	15
		Last of the Cheju Divers The	3	Off-List[4]	Off-List[15]	Off-List[2]	Off-List[7]	"3,756"	"19,534"	2	33
		Life of a Geisha The	4	Off-List[18]	Off-List[70]	Off-List[1]	Off-List[22]	"9,138"	"19,478"	3	14
		Life on the Orinoco	2	Off-List[7]	Off-List[22]	Off-List[1]	Off-List[11]	"10,125"	"54,689"	3	7
		Living in the Slow Lane	5	Off-List[48]	Off-List[118]	Off-List[7]	Off-List[61]	"8,233"	"28,023"	3	6
		Living With a Volcano	3	Off-List[6]	Off-List[26]	Off-List[3]	Off-List[11]	"6,398"	"23,274"	4	6
		Lost City of Machu Picchu The	2	2314	Off-List[6]	"1,484"	"2,625"	"3,004"	"4,499"	2	3
		Lost Temples of the Maya The	4	Off-List[16]	Off-List[53]	Off-List[3]	Off-List[19]	"15,537"	"26,680"	5	24
		Making a Deal 	3	Off-List[16]	Off-List[48]	Off-List[4]	Off-List[19]	"5,165"	"51,370"	3	19
		Making a Thai Boxing Champion	3	Off-List[5]	Off-List[21]	"2,444"	Off-List[7]	"5,454"	"35,820"	3	6
		Mars on Earth	5	Off-List[40]	Off-List[129]	Off-List[5]	Off-List[63]	"7,847"	"20,658"	4	6
		Memory Man The 	3	Off-List[1]	Off-List[18]	"1,643"	Off-List[6]	"7,767"	"21,519"	2	3
		Missing Snows of Kilimanjaro The	3	Off-List[6]	Off-List[30]	Off-List[1]	Off-List[13]	"7,210"	"18,878"	3	6
		Monkey Party	2	Off-List[1]	Off-List[11]	Off-List[1]	Off-List[5]	"3,216"	"19,992"	2	6
		Mount Fuji	4	Off-List[11]	Off-List[53]	"2,763"	Off-List[26]	"4,758"	"13,001"	2	6
		Mysterious Crop Circles	4	Off-List[13]	Off-List[60]	"2,310"	Off-List[16]	"5,324"	"12,458"	3	3
		Natacha's Animal Rescue	5	Off-List[54]	Off-List[165]	Off-List[9]	Off-List[73]	"6,001"	"13,696"	4	10
		Night Hunt	3	Off-List[14]	Off-List[45]	Off-List[6]	Off-List[16]	"12,350"	0[1]	11	Off-List[1]
		Olympians The	4	Off-List[16]	Off-List[45]	Off-List[1]	Off-List[12]	"5,415"	"29,906"	3	8
		One Boy's Journey 	3	Off-List[6]	Off-List[22]	Off-List[1]	Off-List[10]	"4,055"	"15,502"	3	7
		One Village Makes a Difference 	3	Off-List[8]	Off-List[41]	Off-List[1]	Off-List[17]	"6,431"	"16,019"	4	7
		One Woman's Choice	4	2478	Off-List[30]	"1,747"	Off-List[6]	"5,747"	"20,978"	3	17
		Opal Town The	4	Off-List[19]	Off-List[74]	Off-List[2]	Off-List[22]	"6,087"	"7,976"	4	11
		Orangutan Language	4	Off-List[7]	Off-List[35]	Off-List[1]	Off-List[8]	"5,586"	"12,951"	3	12
		Orient Express	5	Off-List[38]	Off-List[121]	Off-List[5]	Off-List[57]	"7,187"	"11,918"	4	6
		Para-Life Rescue	4	Off-List[18]	Off-List[69]	Off-List[2]	Off-List[22]	"10,599"	"51,490"	3	33
		Perfect Swarm The	5	Off-List[75]	Off-List[182]	Off-List[15]	Off-List[82]	"10,352"	"20,389"	5	10
		Peruvian Weavers	3	Off-List[8]	Off-List[27]	Off-List[2]	Off-List[11]	"7,061"	"40,710"	3	6
		Polar Bears in Trouble	4	Off-List[24]	Off-List[81]	Off-List[1]	Off-List[24]	"4,754"	"9,106"	3	5
		Puffin Rescue!	3	Off-List[3]	Off-List[20]	Off-List[1]	Off-List[5]	"3,854"	0[1]	4	Off-List[1]
		Real Winner A	3	Off-List[9]	Off-List[48]	"2,261"	Off-List[13]	"3,839"	"12,123"	3	13
		Red Devils	5	Off-List[53]	Off-List[148]	Off-List[7]	Off-List[49]	"7,564"	"18,525"	5	8
		Saving the Amazon Together	5	Off-List[46]	Off-List[153]	Off-List[6]	Off-List[73]	"7,265"	"17,977"	3	6
		Saving the Pandas!	4	Off-List[15]	Off-List[48]	Off-List[3]	Off-List[19]	"5,421"	"13,043"	5	9
		Shark Alley	4	Off-List[24]	Off-List[89]	Off-List[4]	Off-List[27]	"4,999"	"12,323"	5	5
		Snake Detective	5	Off-List[43]	Off-List[138]	Off-List[4]	Off-List[51]	"9,517"	"15,988"	3	7
		Snow Magic!	2	Off-List[3]	Off-List[16]	"2,473"	Off-List[3]	"2,690"	"14,177"	2	5
		Solar Cooking	4	Off-List[10]	Off-List[49]	Off-List[2]	Off-List[16]	"5,104"	"16,180"	3	5
		Spacewalk	5	Off-List[48]	Off-List[99]	Off-List[11]	Off-List[51]	"6,178"	"12,432"	4	7
		Special Kind of Neighborhood A	3	2253	Off-List[16]	"1,692"	Off-List[6]	"10,125"	"29,301"	2	4
		Story of the Hula	2	Off-List[6]	Off-List[19]	Off-List[2]	Off-List[7]	"14,774"	"15,330"	3	14
		Taiko Master	3	Off-List[10]	Off-List[33]	Off-List[3]	Off-List[10]	"11,918"	0[1]	2	Off-List[1]
		Three Rivers of Zambia The	4	Off-List[14]	Off-List[49]	"2,764"	Off-List[15]	"4,046"	"12,400"	3	33
		Tornado Chase	4	Off-List[11]	Off-List[61]	Off-List[1]	Off-List[18]	"4,897"	"9,967"	3	7
		Varied Cultures of China The	5	Off-List[24]	Off-List[89]	Off-List[1]	Off-List[45]	"6,510"	"11,881"	3	5
		Volcano Trek	2	Off-List[6]	Off-List[17]	Off-List[4]	Off-List[11]	"7,259"	"11,916"	6	6
		Water Sports Adventure	3	Off-List[8]	Off-List[28]	"2,664"	Off-List[7]	"3,647"	"16,451"	2	6
